#separator:tab
#html:false
#tags column:10
póster	el	noun	poster						
el dibujo	m	noun	drawing						
la letra	f	noun	letter						
el número	m	noun	number						
la palabra	f	noun	word						
la frase	f	noun	phrase						
el compañero	m	noun	the companion			rápidamente estableció conversación con su compañero de viaje.			
el libro	m	noun	book						
la libreta	f	noun	notebook						
el texto	m	noun	text						
la tarjeta	f	noun	card						
el ejercicio	m	noun	exercise						
el pollo	m	noun	chicken						
la calle	f	noun				las calles de la zona residencial son perpendiculares a la avenida.			
el burro	m	noun	donkey		animal más pequeño que el caballo y de orejas largas.				
la luna	f	noun	moon		Satélite  de  la  Tierra visible por  la  noche debido  a  la  luz que recibe del Sol.				
el caballo	m	noun	horse						
la culpa	f	noun	fault		Responsabilidad de la persona que ha causado un daño a otra voluntaria o involuntariamente				
el gallo	m	noun	rooster		Ave galliforme doméstica,  de  pico corto  y  grueso, carúnculas  a  ambos lados  de  la  cara, cresta encarnada, cola larga  y  tarsos armados con fuertes espolones.				
azul		adj	blue		Del color del cielo sin nubes, del mar o próximo a estos colores				
